
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1938"	"21.512"	"21.656"	"28.819"	"31.691"	"34.267"	"28.802"	"27.387"	"27.283"	"27.555"	"25.977"	"21.27"	"18.507"
"1939"	"20.381"	"23.327"	"26.485"	"31.291"	"35.683"	"31.813"	"26.963"	"26.89"	"27.154"	"26.565"	"21.381"	"18.796"
"1940"	"18.266"	"22.505"	"26.292"	"30.696"	"33.993"	"31.56"	"26.755"	"26.948"	"27.659"	"26.509"	"23.015"	"19.836"
"1941"	"20.698"	"22.737"	"28.476"	"33.192"	"35.143"	"30.715"	"27.834"	"27.59"	"27.996"	"25.957"	"21.289"	"20.023"
"1942"	"19.643"	"22.363"	"27.589"	"31.379"	"35.402"	"33.232"	"26.713"	"26.998"	"27.39"	"25.476"	"22.153"	"19.671"
"1943"	"21.519"	"20.843"	"27.315"	"30.346"	"34.111"	"30.808"	"27.213"	"26.437"	"27.457"	"26.243"	"22.019"	"18.277"
"1944"	"19.835"	"22.046"	"25.535"	"29.536"	"34.916"	"32.101"	"26.879"	"26.749"	"27.555"	"25.466"	"21.61"	"20.303"
"1945"	"18.958"	"21.504"	"27.315"	"29.892"	"34.439"	"32.123"	"27.222"	"27.76"	"27.026"	"24.983"	"20.86"	"17.559"
"1946"	"18.438"	"22.308"	"27.366"	"30.298"	"34.182"	"30.067"	"27.032"	"26.913"	"27.384"	"26.612"	"23.482"	"21.587"
"1947"	"20.561"	"21.943"	"27.835"	"32.566"	"35.334"	"32.723"	"27.152"	"27.528"	"27.519"	"25.638"	"22.072"	"19.82"
"1948"	"20.835"	"23.062"	"26.53"	"32.284"	"35.805"	"32.641"	"27.719"	"27.04"	"27.22"	"26.553"	"23.802"	"18.486"
"1949"	"19.769"	"22.043"	"27.702"	"31.867"	"34.197"	"31.413"	"27.379"	"27.152"	"27.362"	"26.553"	"21.301"	"18.005"
"1950"	"19.889"	"22.1"	"26.268"	"31.323"	"35.168"	"31.005"	"26.863"	"27.29"	"27.489"	"25.55"	"21.236"	"19.017"
"1951"	"18.896"	"22.625"	"27.389"	"30.463"	"34.101"	"31.854"	"27.937"	"27.101"	"28.251"	"27.872"	"22.87"	"19.57"
"1952"	"20.519"	"23.958"	"26.888"	"32.345"	"35.516"	"32.701"	"28.156"	"27.04"	"27.481"	"26.55"	"21.825"	"20.678"
"1953"	"19.889"	"23.919"	"29.753"	"32.026"	"36.237"	"33.472"	"27.51"	"26.871"	"27.912"	"26.274"	"21.592"	"19.746"
"1954"	"19.038"	"24.092"	"27.481"	"32.676"	"35.636"	"32.073"	"27.93"	"27.628"	"27.096"	"24.915"	"20.655"	"19.805"
"1955"	"20.01"	"23.374"	"28.762"	"30.742"	"34.528"	"32.474"	"27.233"	"27.168"	"27.357"	"26.063"	"21.134"	"19.065"
"1956"	"20.378"	"22.077"	"28.804"	"32.943"	"34.829"	"29.36"	"26.913"	"26.74"	"27.054"	"25.347"	"21.772"	"20.516"
"1957"	"21.16"	"22.078"	"26.081"	"31.076"	"34.484"	"32.534"	"27.046"	"27.338"	"27.485"	"26.799"	"22.568"	"20.758"
"1958"	"20.854"	"23.542"	"28.354"	"32.752"	"34.931"	"34.374"	"27.551"	"27.627"	"27.369"	"26.412"	"23.445"	"20.232"
"1959"	"20.592"	"22.782"	"27.903"	"32.095"	"35.169"	"31.715"	"27.318"	"26.729"	"27.055"	"26.492"	"21.972"	"19.396"
"1960"	"19.705"	"23.174"	"26.685"	"31.589"	"34.509"	"32.124"	"27.334"	"26.944"	"27.855"	"25.897"	"21.509"	"20.689"
"1961"	"20.572"	"21.593"	"28.6"	"32.011"	"34.786"	"30.39"	"26.921"	"27.04"	"26.774"	"25.747"	"21.166"	"17.689"
"1962"	"17.784"	"21.947"	"26.65"	"30.963"	"33.747"	"31.189"	"27.608"	"27.04"	"27.262"	"25.287"	"22.03"	"19.805"
"1963"	"18.26"	"23.004"	"27.086"	"30.449"	"33.683"	"30.885"	"27.334"	"27.259"	"27.273"	"26.451"	"22.877"	"19.731"
"1964"	"20.478"	"22.744"	"28.388"	"32.43"	"34.503"	"31.316"	"26.575"	"26.659"	"27.555"	"26.327"	"21.888"	"19.708"
"1965"	"20.035"	"22.701"	"26.743"	"30.373"	"34.02"	"32.674"	"27.764"	"27.628"	"27.204"	"26.619"	"22.921"	"20.094"
"1966"	"19.839"	"24.028"	"27.889"	"32.653"	"35.416"	"32.043"	"29.051"	"27.441"	"27.877"	"26.783"	"24.63"	"19.505"
"1967"	"20.363"	"23.872"	"26.518"	"30.992"	"34.987"	"33.118"	"28.313"	"26.741"	"27.27"	"25.453"	"22.162"	"21.396"
"1968"	"19.436"	"22.378"	"26.316"	"30.061"	"34.047"	"31.662"	"27.594"	"26.745"	"27.927"	"25.657"	"22.308"	"19.474"
"1969"	"19.781"	"24.554"	"29.38"	"32.855"	"33.794"	"32.206"	"27.371"	"26.998"	"26.97"	"26.873"	"23.864"	"19.44"
"1970"	"20.519"	"23.584"	"27.389"	"31.807"	"34.93"	"29.494"	"27.153"	"26.928"	"27.154"	"26.053"	"21.046"	"18.219"
"1971"	"19.923"	"22.599"	"26.63"	"31.057"	"31.168"	"28.865"	"26.636"	"26.219"	"27.707"	"26.559"	"22.204"	"18.434"
"1972"	"20.395"	"22.173"	"28.665"	"31.508"	"35.604"	"34.596"	"28.43"	"26.821"	"27.485"	"26.285"	"23.418"	"21.434"
"1973"	"21.364"	"24.499"	"27.828"	"33.22"	"36.09"	"32.429"	"27.392"	"27.028"	"27.543"	"25.835"	"22.149"	"19.493"
"1974"	"19.749"	"22.781"	"28.387"	"32.862"	"33.526"	"31.887"	"28.106"	"27.799"	"28.351"	"26.543"	"22.124"	"19.603"
"1975"	"18.772"	"23.065"	"26.859"	"33.322"	"36.141"	"32.121"	"27.028"	"27.108"	"27.054"	"26.849"	"20.474"	"18.493"
"1976"	"18.732"	"23.361"	"27.72"	"30.769"	"34.142"	"31.931"	"27.264"	"27.055"	"27.154"	"27.31"	"26.057"	"21.348"
"1977"	"20.187"	"23.966"	"28.927"	"31.455"	"32.083"	"31.805"	"27.404"	"27.028"	"27.524"	"26.822"	"24.376"	"19.604"
"1978"	"18.924"	"21.955"	"25.803"	"31.01"	"36.034"	"31.22"	"27.202"	"26.22"	"27.516"	"26.496"	"24.506"	"19.322"
"1979"	"20.839"	"20.678"	"27.091"	"31.096"	"33.764"	"32.158"	"28.092"	"27.411"	"26.599"	"27.55"	"25.791"	"20.717"
"1980"	"21.282"	"24.122"	"27.716"	"32.305"	"35.414"	"29.189"	"26.656"	"26.776"	"26.868"	"26.426"	"23.503"	"20.035"
"1981"	"19.272"	"23.977"	"26.5"	"30.256"	"33.191"	"32.085"	"27.212"	"27.256"	"27.294"	"26.509"	"22.802"	"19.312"
"1982"	"21.435"	"22.834"	"26.238"	"31.89"	"33.601"	"31.711"	"29.634"	"26.934"	"28.4"	"26.819"	"23.273"	"21.453"
"1983"	"20.335"	"22.287"	"27.889"	"31.237"	"33.629"	"33.096"	"28.625"	"27.658"	"27.53"	"25.322"	"21.252"	"19.23"
"1984"	"19.919"	"21.113"	"27.893"	"31.906"	"35.826"	"30.62"	"27.49"	"26.711"	"27.117"	"26.753"	"21.995"	"20.574"
"1985"	"21.153"	"22.812"	"29.136"	"32.722"	"34.36"	"32.067"	"26.477"	"26.313"	"27.804"	"25.129"	"22.293"	"20.68"
"1986"	"19.411"	"22.133"	"26.539"	"31.797"	"33.305"	"31.48"	"26.741"	"26.957"	"27.762"	"25.709"	"22.925"	"19.621"
"1987"	"19.188"	"22.418"	"26.903"	"31.92"	"32.751"	"32.752"	"27.409"	"27.344"	"27.86"	"26.137"	"22.192"	"19.072"
"1988"	"19.972"	"23.307"	"26.932"	"31.181"	"35.431"	"30.539"	"26.99"	"27.884"	"28.386"	"26.02"	"22.861"	"20.965"
"1989"	"19.501"	"24.019"	"27.027"	"32.762"	"35.675"	"30.459"	"28.106"	"27.429"	"27.766"	"26.711"	"23.623"	"19.805"
"1990"	"22.054"	"23.366"	"27.049"	"31.531"	"31.728"	"30.018"	"26.944"	"27.606"	"27.277"	"25.695"	"23.224"	"20.296"
"1991"	"19.91"	"24.757"	"28.042"	"31.245"	"35.327"	"30.762"	"28.182"	"26.802"	"28.299"	"26.223"	"21.878"	"19.574"
"1992"	"19.467"	"22.082"	"28.545"	"31.975"	"34.032"	"31.868"	"28.863"	"27.198"	"27.544"	"27.05"	"23.884"	"19.715"
"1993"	"20.931"	"23.296"	"26.983"	"31.878"	"35.688"	"32.513"	"28.371"	"27.57"	"27.552"	"27.253"	"22.348"	"19.304"
"1994"	"21.373"	"22.829"	"28.984"	"31.008"	"34.948"	"30.994"	"26.752"	"26.575"	"27.401"	"26.849"	"23.149"	"19.872"
"1995"	"18.83"	"22.898"	"26.709"	"31.388"	"32.625"	"33.907"	"27.837"	"27.644"	"27.956"	"26.649"	"23.28"	"20.987"
"1996"	"21.556"	"22.457"	"28.618"	"30.885"	"35.686"	"31.831"	"27.946"	"26.982"	"28.355"	"26.25"	"22.97"	"19.29"
"1997"	"18.976"	"21.632"	"27.709"	"29.442"	"33.675"	"32.899"	"27.761"	"27.067"	"27.542"	"26.753"	"24.508"	"21.482"
"1998"	"20.637"	"23.062"	"25.88"	"30.831"	"34.091"	"33.475"	"27.792"	"27.892"	"28.124"	"28.047"	"23.684"	"19.74"
"1999"	"18.469"	"23.813"	"27.885"	"33.366"	"33.755"	"30.905"	"27.532"	"26.95"	"27.154"	"27.245"	"23.34"	"20.131"
"2000"	"20.775"	"22.5"	"26.788"	"32.992"	"34.063"	"29.872"	"27.846"	"27.578"	"27.411"	"27.788"	"24.198"	"19.731"
"2001"	"19.708"	"23.224"	"27.989"	"30.886"	"34.898"	"29.259"	"26.81"	"27.259"	"28.458"	"27.576"	"24.776"	"20.966"
"2002"	"19.939"	"23.662"	"28.29"	"32.134"	"35.753"	"31.629"	"28.749"	"26.829"	"27.536"	"26.825"	"23.381"	"21.558"
